日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
105/11/26,FB11 花椰菜 青梗 留梗柄,151.0,113.2,70.6,112.2,2739
105/11/27,FB11 花椰菜 青梗 留梗柄,122.3,94.3,71.4,95.3,4937
105/11/29,FB11 花椰菜 青梗 留梗柄,128.6,91.2,57.9,92.0,6810
105/11/30,FB11 花椰菜 青梗 留梗柄,119.6,94.3,72.9,95.1,4733
105/12/01,FB11 花椰菜 青梗 留梗柄,107.8,82.5,66.0,84.3,6666
105/12/02,FB11 花椰菜 青梗 留梗柄,91.5,65.0,51.1,67.5,8947
105/12/03,FB11 花椰菜 青梗 留梗柄,94.8,63.8,49.5,67.2,11472
105/12/04,FB11 花椰菜 青梗 留梗柄,72.6,53.0,39.7,54.3,17901
105/12/06,FB11 花椰菜 青梗 留梗柄,53.3,41.2,29.5,41.3,36338
105/12/07,FB11 花椰菜 青梗 留梗柄,49.7,40.4,29.3,40.0,29158
105/12/08,FB11 花椰菜 青梗 留梗柄,47.2,39.9,30.7,39.5,29212
105/12/09,FB11 花椰菜 青梗 留梗柄,42.8,38.2,28.4,37.1,31177
105/12/10,FB11 花椰菜 青梗 留梗柄,42.9,36.2,26.8,35.6,41241
105/12/11,FB11 花椰菜 青梗 留梗柄,37.7,27.4,18.2,27.6,49242
105/12/13,FB11 花椰菜 青梗 留梗柄,26.0,18.4,11.7,18.6,66591
105/12/14,FB11 花椰菜 青梗 留梗柄,33.4,27.1,19.0,26.8,38645
105/12/15,FB11 花椰菜 青梗 留梗柄,36.6,29.7,22.4,29.6,29698
105/12/16,FB11 花椰菜 青梗 留梗柄,36.7,31.0,24.5,30.8,29788
105/12/17,FB11 花椰菜 青梗 留梗柄,45.4,35.4,26.8,35.7,28765
105/12/18,FB11 花椰菜 青梗 留梗柄,41.0,30.3,23.1,31.0,36583
105/12/20,FB11 花椰菜 青梗 留梗柄,39.1,29.8,21.1,29.9,45113
105/12/21,FB11 花椰菜 青梗 留梗柄,36.7,27.3,17.7,27.3,35251
105/12/22,FB11 花椰菜 青梗 留梗柄,30.1,25.1,17.0,24.5,26068
105/12/23,FB11 花椰菜 青梗 留梗柄,29.1,23.6,14.5,22.9,29592
105/12/24,FB11 花椰菜 青梗 留梗柄,32.7,27.9,18.0,26.9,21008
105/12/25,FB11 花椰菜 青梗 留梗柄,38.8,31.0,21.6,30.6,24221
105/12/27,FB11 花椰菜 青梗 留梗柄,36.2,26.5,16.8,26.5,36210
105/12/28,FB11 花椰菜 青梗 留梗柄,39.3,28.8,16.0,28.3,21764
105/12/29,FB11 花椰菜 青梗 留梗柄,42.2,34.9,21.1,33.6,14490
105/12/30,FB11 花椰菜 青梗 留梗柄,45.7,33.5,18.4,32.9,16019
105/12/31,FB11 花椰菜 青梗 留梗柄,50.9,35.6,18.1,35.1,15012
106/01/01,FB11 花椰菜 青梗 留梗柄,52.8,34.7,21.5,35.7,20627
106/01/03,FB11 花椰菜 青梗 留梗柄,44.7,30.9,20.7,31.6,27140
106/01/04,FB11 花椰菜 青梗 留梗柄,48.6,31.2,22.5,32.9,18687
106/01/05,FB11 花椰菜 青梗 留梗柄,40.8,25.1,17.3,26.7,21428
106/01/06,FB11 花椰菜 青梗 留梗柄,36.9,24.2,15.2,25.0,26605
106/01/07,FB11 花椰菜 青梗 留梗柄,34.2,23.7,16.4,24.4,28098
106/01/08,FB11 花椰菜 青梗 留梗柄,32.6,21.5,14.0,22.2,36968
106/01/10,FB11 花椰菜 青梗 留梗柄,32.0,20.4,13.3,21.3,50401
106/01/11,FB11 花椰菜 青梗 留梗柄,27.3,18.3,11.6,18.8,41151
106/01/12,FB11 花椰菜 青梗 留梗柄,26.0,16.3,9.9,16.9,41810
106/01/13,FB11 花椰菜 青梗 留梗柄,24.1,15.3,8.6,15.7,49823
106/01/14,FB11 花椰菜 青梗 留梗柄,20.8,13.2,6.3,13.3,49007
106/01/15,FB11 花椰菜 青梗 留梗柄,20.0,13.4,7.3,13.5,40338
106/01/17,FB11 花椰菜 青梗 留梗柄,21.1,16.0,9.6,15.8,42139
106/01/18,FB11 花椰菜 青梗 留梗柄,22.9,18.8,11.8,18.2,31714
106/01/19,FB11 花椰菜 青梗 留梗柄,22.1,16.2,10.6,16.3,36161
106/01/20,FB11 花椰菜 青梗 留梗柄,22.0,17.2,10.4,16.8,35452
106/01/21,FB11 花椰菜 青梗 留梗柄,26.3,19.8,12.5,19.6,36396
106/01/22,FB11 花椰菜 青梗 留梗柄,27.1,18.3,11.1,18.6,37195
106/01/24,FB11 花椰菜 青梗 留梗柄,35.5,26.4,16.7,26.3,49541
106/01/25,FB11 花椰菜 青梗 留梗柄,46.9,26.0,12.7,27.5,49950
106/01/26,FB11 花椰菜 青梗 留梗柄,36.8,21.5,7.9,21.8,56122
106/01/27,FB11 花椰菜 青梗 留梗柄,34.9,17.2,5.6,18.4,24761
106/02/02,FB11 花椰菜 青梗 留梗柄,29.9,17.5,4.5,17.4,33584
106/02/03,FB11 花椰菜 青梗 留梗柄,35.1,29.4,17.8,28.2,17277
106/02/04,FB11 花椰菜 青梗 留梗柄,38.5,32.0,23.7,31.6,22163
106/02/07,FB11 花椰菜 青梗 留梗柄,42.7,32.6,17.2,31.5,27801
106/02/08,FB11 花椰菜 青梗 留梗柄,40.4,30.2,16.6,29.5,21652
106/02/09,FB11 花椰菜 青梗 留梗柄,39.0,25.5,14.8,26.1,23701
106/02/10,FB11 花椰菜 青梗 留梗柄,41.5,28.7,18.1,29.1,21070
106/02/11,FB11 花椰菜 青梗 留梗柄,43.5,29.2,16.9,29.6,26427
106/02/14,FB11 花椰菜 青梗 留梗柄,42.0,27.9,18.0,28.7,33427
