日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/08/18,A1 香蕉,37.3,29.9,23.2,30.0,19411
098/08/19,A1 香蕉,36.0,28.3,18.4,27.9,21165
098/08/20,A1 香蕉,38.5,30.6,22.9,30.7,25738
098/08/21,A1 香蕉,38.5,30.7,21.5,30.4,22571
098/08/22,A1 香蕉,38.6,31.1,20.4,30.4,20258
098/08/23,A1 香蕉,36.9,29.2,16.4,28.2,18274
098/08/25,A1 香蕉,37.1,29.4,15.7,28.2,18292
098/08/26,A1 香蕉,35.7,27.8,13.8,26.6,19870
098/08/27,A1 香蕉,35.7,27.4,16.3,26.9,17955
098/08/28,A1 香蕉,35.5,26.6,16.9,26.4,16352
098/08/29,A1 香蕉,35.9,26.2,14.0,25.7,14950
098/08/30,A1 香蕉,36.6,26.3,14.9,26.1,18068
098/09/01,A1 香蕉,39.7,27.5,17.8,28.0,18637
098/09/02,A1 香蕉,41.1,29.4,10.5,27.9,21384
098/09/03,A1 香蕉,37.6,28.4,15.2,27.6,26535
098/09/06,A1 香蕉,41.5,30.8,20.4,30.8,18146
098/09/08,A1 香蕉,43.8,33.9,23.5,33.8,17980
098/09/09,A1 香蕉,44.0,34.8,23.8,34.4,16802
098/09/10,A1 香蕉,42.6,33.2,23.6,33.1,14606
098/09/11,A1 香蕉,42.3,34.5,22.6,33.7,12150
098/09/12,A1 香蕉,42.7,33.8,20.7,33.0,13160
098/09/13,A1 香蕉,42.9,34.2,24.2,33.9,12312
098/09/15,A1 香蕉,44.6,35.2,23.6,34.8,13020
098/09/16,A1 香蕉,43.4,35.5,24.8,35.0,15525
098/09/17,A1 香蕉,43.7,34.6,23.1,34.1,14392
098/09/18,A1 香蕉,45.6,36.4,23.4,35.6,14640
098/09/19,A1 香蕉,47.2,39.2,28.5,38.7,20273
098/09/20,A1 香蕉,48.0,40.5,28.9,39.7,17314
098/09/22,A1 香蕉,45.8,36.2,26.7,36.2,13763
098/09/23,A1 香蕉,43.1,37.8,31.0,37.5,15149
098/09/24,A1 香蕉,42.0,34.4,26.6,34.4,13252
098/09/25,A1 香蕉,39.5,34.3,25.5,33.6,12870
098/09/26,A1 香蕉,39.6,33.2,24.5,32.8,13762
098/09/27,A1 香蕉,36.8,32.4,25.6,31.9,13540
098/09/29,A1 香蕉,38.5,32.6,26.0,32.5,12585
098/09/30,A1 香蕉,39.5,33.0,25.3,32.7,13405
098/10/01,A1 香蕉,43.5,32.6,23.4,32.9,11430
098/10/02,A1 香蕉,47.4,37.2,27.2,37.2,13592
098/10/03,A1 香蕉,46.9,39.2,31.5,39.2,18765
098/10/06,A1 香蕉,42.0,36.4,29.5,36.1,15710
098/10/07,A1 香蕉,41.8,34.0,25.5,33.9,12890
098/10/08,A1 香蕉,42.8,33.7,24.7,33.7,13012
098/10/09,A1 香蕉,43.4,33.3,22.6,33.2,12561
098/10/10,A1 香蕉,44.4,34.6,24.7,34.6,12706
098/10/11,A1 香蕉,45.4,35.6,24.4,35.3,12278
098/10/13,A1 香蕉,44.4,36.3,26.5,35.9,14975
098/10/14,A1 香蕉,45.9,34.7,24.2,34.8,14704
098/10/15,A1 香蕉,45.8,36.0,26.8,36.1,12174
098/10/16,A1 香蕉,47.9,36.9,26.8,37.1,13795
098/10/17,A1 香蕉,52.4,38.0,28.5,38.9,12863
098/10/18,A1 香蕉,51.6,39.3,29.2,39.8,17355
098/10/20,A1 香蕉,51.6,43.0,34.9,43.1,17467
098/10/21,A1 香蕉,51.2,44.4,34.5,43.8,12966
098/10/22,A1 香蕉,50.7,43.2,35.0,43.1,11820
098/10/23,A1 香蕉,50.9,42.9,33.9,42.7,9873
098/10/24,A1 香蕉,52.1,41.7,35.0,42.5,9450
098/10/25,A1 香蕉,51.8,43.4,32.6,42.9,10890
098/10/27,A1 香蕉,54.6,43.1,34.9,43.8,14145
098/10/28,A1 香蕉,56.7,47.6,37.7,47.4,12008
098/10/29,A1 香蕉,55.6,47.7,37.3,47.2,12323
098/10/30,A1 香蕉,56.1,46.1,35.6,46.0,12670
098/10/31,A1 香蕉,58.4,48.3,37.5,48.2,11805
098/11/01,A1 香蕉,60.3,49.7,38.4,49.6,16497
098/11/03,A1 香蕉,56.8,47.5,37.5,47.4,15816
098/11/04,A1 香蕉,58.4,48.3,37.3,48.1,12719
098/11/05,A1 香蕉,59.4,49.0,38.7,49.0,12073
098/11/06,A1 香蕉,59.2,49.2,38.3,49.0,10833
098/11/07,A1 香蕉,58.8,46.9,34.9,46.9,11088
098/11/08,A1 香蕉,57.7,47.2,34.6,46.8,10824
098/11/10,A1 香蕉,56.8,45.4,34.7,45.6,11795
098/11/11,A1 香蕉,56.6,46.5,34.6,46.2,12377
098/11/12,A1 香蕉,56.9,44.8,33.9,45.1,13232
098/11/13,A1 香蕉,54.1,42.5,30.5,42.5,11979
098/11/14,A1 香蕉,54.0,44.5,31.4,43.8,11115
098/11/15,A1 香蕉,57.8,46.3,32.1,45.8,10437
098/11/17,A1 香蕉,55.4,43.3,32.1,43.5,19826
098/11/18,A1 香蕉,54.4,42.9,31.6,42.9,19164
098/11/19,A1 香蕉,54.7,43.6,32.7,43.7,13870
098/11/20,A1 香蕉,55.0,42.7,32.3,43.1,11294
098/11/21,A1 香蕉,52.5,41.3,30.9,41.4,11374
098/11/22,A1 香蕉,51.0,40.3,30.3,40.5,14175
098/11/24,A1 香蕉,49.9,38.0,27.9,38.4,14295
098/11/25,A1 香蕉,46.4,35.5,25.3,35.6,16582
098/11/26,A1 香蕉,44.8,35.9,25.0,35.5,12705
098/11/27,A1 香蕉,44.9,35.7,24.5,35.3,11158
098/11/28,A1 香蕉,44.7,35.7,24.9,35.3,13387
098/11/29,A1 香蕉,50.2,36.4,25.0,36.9,13244
098/12/01,A1 香蕉,49.8,39.4,29.8,39.6,20170
098/12/02,A1 香蕉,49.8,41.2,31.9,41.0,19682
098/12/03,A1 香蕉,49.3,41.0,31.7,40.8,15306
098/12/04,A1 香蕉,48.5,41.0,31.0,40.5,11234
098/12/05,A1 香蕉,48.6,40.0,30.0,39.7,11490
098/12/06,A1 香蕉,49.1,40.1,31.0,40.1,11835
098/12/08,A1 香蕉,48.9,40.0,31.7,40.1,12963
098/12/09,A1 香蕉,47.9,40.5,32.0,40.3,14475
098/12/10,A1 香蕉,48.2,39.0,31.8,39.4,13725
098/12/11,A1 香蕉,46.8,39.2,30.0,38.9,10980
098/12/12,A1 香蕉,47.3,39.8,31.7,39.7,11744
098/12/13,A1 香蕉,48.0,40.2,32.0,40.1,12615
098/12/15,A1 香蕉,48.5,40.1,31.8,40.1,16455
098/12/16,A1 香蕉,47.8,40.0,31.9,39.9,18098
098/12/17,A1 香蕉,47.6,39.9,31.6,39.8,17445
098/12/18,A1 香蕉,47.1,39.5,31.5,39.4,14028
098/12/19,A1 香蕉,46.8,38.5,30.3,38.5,11803
098/12/20,A1 香蕉,45.6,37.4,29.7,37.5,13380
098/12/22,A1 香蕉,45.6,38.1,29.7,37.9,15096
098/12/23,A1 香蕉,44.5,36.8,29.5,36.9,16801
098/12/24,A1 香蕉,44.3,36.3,27.8,36.2,15101
098/12/25,A1 香蕉,43.1,32.5,24.8,33.1,16430
098/12/26,A1 香蕉,41.0,33.0,26.6,33.3,14143
098/12/27,A1 香蕉,40.5,33.8,27.6,33.9,14080
098/12/29,A1 香蕉,42.0,34.3,26.7,34.3,18228
098/12/30,A1 香蕉,41.4,34.4,28.6,34.7,25847
098/12/31,A1 香蕉,41.6,33.2,26.7,33.6,24240
099/01/01,A1 香蕉,39.3,32.5,26.7,32.7,20388
099/01/02,A1 香蕉,39.9,33.4,27.2,33.5,12658
099/01/03,A1 香蕉,39.5,33.9,27.8,33.8,13296
099/01/05,A1 香蕉,38.7,33.0,26.3,32.8,16592
099/01/06,A1 香蕉,37.2,30.9,24.2,30.8,17616
099/01/07,A1 香蕉,37.0,31.2,24.9,31.1,14240
099/01/08,A1 香蕉,34.2,29.0,23.6,28.9,12165
099/01/09,A1 香蕉,32.1,27.6,21.8,27.3,15596
099/01/10,A1 香蕉,32.8,27.8,22.6,27.8,15691
099/01/12,A1 香蕉,35.3,28.4,23.0,28.7,14435
099/01/13,A1 香蕉,38.0,31.0,24.7,31.1,16541
099/01/14,A1 香蕉,43.1,33.9,25.7,34.1,16478
099/01/15,A1 香蕉,39.9,32.8,25.0,32.7,23590
099/01/16,A1 香蕉,40.9,33.5,27.9,33.9,20698
099/01/17,A1 香蕉,42.3,33.9,27.5,34.3,16040
099/01/19,A1 香蕉,44.1,36.3,30.0,36.6,13230
099/01/20,A1 香蕉,40.9,33.6,25.9,33.5,14653
099/01/21,A1 香蕉,39.3,31.8,26.2,32.2,13363
099/01/22,A1 香蕉,36.8,30.1,24.2,30.3,13915
099/01/23,A1 香蕉,36.6,29.6,24.1,29.9,14054
099/01/24,A1 香蕉,36.8,29.7,23.7,29.9,12973
099/01/26,A1 香蕉,37.0,30.5,25.0,30.7,16395
099/01/27,A1 香蕉,36.1,29.1,24.6,29.6,19605
099/01/28,A1 香蕉,36.1,30.6,23.8,30.3,17738
099/01/29,A1 香蕉,37.3,30.1,25.5,30.6,25652
099/01/30,A1 香蕉,36.5,29.2,24.3,29.7,25120
099/01/31,A1 香蕉,35.9,29.8,23.9,29.8,18725
099/02/02,A1 香蕉,36.7,29.9,23.5,30.0,16669
099/02/03,A1 香蕉,36.3,28.2,18.8,27.9,19266
099/02/04,A1 香蕉,35.6,25.9,18.0,26.3,19786
099/02/05,A1 香蕉,31.1,22.7,17.1,23.2,16503
099/02/06,A1 香蕉,30.5,22.1,16.7,22.7,16008
099/02/07,A1 香蕉,29.0,22.2,17.5,22.6,16121
099/02/09,A1 香蕉,27.1,22.4,16.7,22.2,18075
099/02/10,A1 香蕉,27.1,20.5,15.4,20.8,20089
099/02/11,A1 香蕉,26.9,20.1,14.0,20.3,16639
099/02/12,A1 香蕉,26.6,20.2,13.9,20.2,16431
099/02/13,A1 香蕉,27.8,20.8,13.7,20.8,15864
099/02/19,A1 香蕉,28.2,21.5,15.0,21.6,23370
099/02/20,A1 香蕉,29.0,23.0,15.5,22.7,17355
099/02/21,A1 香蕉,32.7,23.9,15.7,24.0,18628
099/02/23,A1 香蕉,30.5,25.6,19.8,25.5,25650
099/02/24,A1 香蕉,30.3,24.7,18.9,24.7,16980
099/02/25,A1 香蕉,30.8,23.9,18.4,24.2,15329
099/02/26,A1 香蕉,28.4,23.7,17.9,23.5,15856
099/02/27,A1 香蕉,29.7,23.2,16.9,23.2,22657
099/02/28,A1 香蕉,32.2,23.7,17.9,24.2,25155
099/03/03,A1 香蕉,30.5,25.0,19.9,25.1,26619
099/03/04,A1 香蕉,29.3,24.1,19.7,24.2,21094
099/03/05,A1 香蕉,28.5,23.5,19.3,23.7,20750
099/03/06,A1 香蕉,28.4,22.8,18.6,23.1,21828
099/03/07,A1 香蕉,27.5,22.5,18.3,22.7,21674
