日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/11/05,11 椰子,13.7,9.3,8.0,9.9,2075
098/11/06,11 椰子,12.8,7.9,6.0,8.5,2919
098/11/07,11 椰子,12.7,8.8,7.0,9.2,2865
098/11/08,11 椰子,11.9,8.2,6.3,8.5,2984
098/11/10,11 椰子,13.3,8.9,6.8,9.4,2619
098/11/11,11 椰子,14.0,8.7,6.8,9.4,2148
098/11/12,11 椰子,14.1,8.4,6.0,9.1,2249
098/11/13,11 椰子,14.2,9.5,6.6,9.9,1772
098/11/14,11 椰子,12.6,9.5,6.2,9.4,1620
098/11/15,11 椰子,12.1,6.9,6.0,7.8,1050
098/11/17,11 椰子,10.4,7.3,5.8,7.6,2295
098/11/18,11 椰子,13.4,5.0,5.0,6.7,798
098/11/19,11 椰子,10.6,7.3,5.0,7.5,1627
098/11/20,11 椰子,10.8,8.1,5.9,8.2,1401
098/11/21,11 椰子,11.6,8.3,5.3,8.4,2231
098/11/22,11 椰子,11.7,6.6,5.0,7.3,299
098/11/24,11 椰子,12.6,6.7,5.2,7.6,1296
098/11/25,11 椰子,11.2,8.5,5.1,8.4,1923
098/11/26,11 椰子,10.9,7.9,5.1,7.9,2564
098/11/27,11 椰子,11.4,7.8,5.0,8.0,1596
098/11/28,11 椰子,11.2,8.6,5.2,8.4,2158
098/11/29,11 椰子,9.2,5.3,5.0,6.0,833
098/12/01,11 椰子,10.0,10.0,9.4,9.9,1320
098/12/02,11 椰子,11.1,9.1,5.8,8.9,2336
098/12/03,11 椰子,10.8,7.9,5.0,7.9,1138
098/12/04,11 椰子,10.4,6.7,5.5,7.2,1202
098/12/05,11 椰子,12.2,8.8,5.4,8.8,1250
098/12/06,11 椰子,10.0,9.2,5.6,8.6,1115
098/12/08,11 椰子,10.8,8.7,6.1,8.6,1296
098/12/09,11 椰子,12.7,7.9,5.9,8.4,2085
098/12/10,11 椰子,11.6,8.7,5.4,8.6,2820
098/12/11,11 椰子,10.7,8.8,6.0,8.6,1440
098/12/12,11 椰子,12.3,9.0,6.0,9.1,1757
098/12/13,11 椰子,11.4,9.5,5.9,9.2,1765
098/12/15,11 椰子,10.9,7.7,5.4,7.9,2396
098/12/16,11 椰子,10.0,7.8,5.0,7.7,1528
098/12/17,11 椰子,7.6,5.2,5.0,5.6,950
098/12/18,11 椰子,10.0,8.7,5.0,8.2,1150
098/12/19,11 椰子,10.0,5.6,5.0,6.4,878
098/12/20,11 椰子,10.0,5.3,5.0,6.2,650
098/12/22,11 椰子,10.9,6.2,5.0,6.9,694
098/12/23,11 椰子,11.7,9.3,5.0,8.9,1494
098/12/24,11 椰子,12.3,7.6,5.0,8.0,1497
098/12/25,11 椰子,10.9,8.3,5.0,8.2,1330
098/12/26,11 椰子,13.6,11.7,8.5,11.4,299
098/12/27,11 椰子,10.0,10.0,5.5,9.1,894
098/12/29,11 椰子,12.9,8.8,5.0,8.9,1670
098/12/30,11 椰子,12.4,6.9,5.0,7.6,1106
098/12/31,11 椰子,11.6,6.1,5.0,7.0,980
099/01/01,11 椰子,11.0,8.6,5.0,8.3,711
099/01/02,11 椰子,10.0,9.9,5.2,8.9,647
099/01/03,11 椰子,10.0,5.8,5.0,6.5,369
099/01/05,11 椰子,15.2,10.3,8.5,10.9,1028
099/01/06,11 椰子,10.0,7.6,5.4,7.7,650
099/01/07,11 椰子,9.9,7.8,5.9,7.8,822
